municipio,periodo,quantidade
Campos Verdes,Novembro de 2022,0
Campos Verdes,Dezembro de 2024,0
Campos Verdes,Dezembro de 2023,2
Campos Verdes,Dezembro de 2022,0
Campos Verdes,Julho de 2024,0
Campos Verdes,Julho de 2023,3
Campos Verdes,Julho de 2022,0
Campos Verdes,Abril de 2024,1
Campos Verdes,Abril de 2023,1
Campos Verdes,Abril de 2022,0
Caldas Novas,Agosto de 2024,0
Caldas Novas,Agosto de 2023,1
Caldas Novas,Agosto de 2022,0
Caldas Novas,Março de 2024,3
Caldas Novas,Março de 2023,4
Caldas Novas,Março de 2022,0
Caldas Novas,Setembro de 2024,0
Caldas Novas,Setembro de 2023,0
Caldas Novas,Setembro de 2022,1
Caldas Novas,Janeiro de 2024,1
Caldas Novas,Janeiro de 2023,0
Caldas Novas,Janeiro de 2022,0
Caldas Novas,Maio de 2024,1
Caldas Novas,Maio de 2023,0
Caldas Novas,Maio de 2022,0
Caldas Novas,Junho de 2024,0
Caldas Novas,Junho de 2023,2
Caldas Novas,Junho de 2022,3
Caldas Novas,Fevereiro de 2024,1
Caldas Novas,Fevereiro de 2023,1
Caldas Novas,Fevereiro de 2022,1
Caldas Novas,Outubro de 2024,0
Caldas Novas,Outubro de 2023,0
Caldas Novas,Outubro de 2022,0
Caldas Novas,N/A de 2024,0
Caldas Novas,N/A de 2023,0
Caldas Novas,N/A de 2022,0
Caldas Novas,Novembro de 2024,0
Caldas Novas,Novembro de 2023,0
Caldas Novas,Novembro de 2022,2
Caldas Novas,Dezembro de 2024,0
Caldas Novas,Dezembro de 2023,2
Caldas Novas,Dezembro de 2022,0
Caldas Novas,Julho de 2024,1
Caldas Novas,Julho de 2023,1
Caldas Novas,Julho de 2022,1
Caldas Novas,Abril de 2024,1
Caldas Novas,Abril de 2023,0
Caldas Novas,Abril de 2022,0
Luziânia,Agosto de 2024,0
Luziânia,Agosto de 2023,1
Luziânia,Agosto de 2022,3
Luziânia,Março de 2024,3
Luziânia,Março de 2023,3
Luziânia,Março de 2022,3
Luziânia,Setembro de 2024,0
Luziânia,Setembro de 2023,5
Luziânia,Setembro de 2022,4
Luziânia,Janeiro de 2024,3
Luziânia,Janeiro de 2023,2
Luziânia,Janeiro de 2022,1
Luziânia,Maio de 2024,3
Luziânia,Maio de 2023,3
Luziânia,Maio de 2022,2
Luziânia,Junho de 2024,2
Luziânia,Junho de 2023,3
Luziânia,Junho de 2022,4
Luziânia,Fevereiro de 2024,3
Luziânia,Fevereiro de 2023,4
Luziânia,Fevereiro de 2022,0
Luziânia,Outubro de 2024,0
Luziânia,Outubro de 2023,1
Luziânia,Outubro de 2022,4
Luziânia,N/A de 2024,0
Luziânia,N/A de 2023,0
Luziânia,N/A de 2022,0
Luziânia,Novembro de 2024,0
Luziânia,Novembro de 2023,2
Luziânia,Novembro de 2022,4
Luziânia,Dezembro de 2024,0
Luziânia,Dezembro de 2023,1
Luziânia,Dezembro de 2022,1
Luziânia,Julho de 2024,0
Luziânia,Julho de 2023,2
Luziânia,Julho de 2022,3
Luziânia,Abril de 2024,1
Luziânia,Abril de 2023,1
Luziânia,Abril de 2022,1
Formosa,Agosto de 2024,0
Formosa,Agosto de 2023,0
Formosa,Agosto de 2022,0
Formosa,Março de 2024,3
Formosa,Março de 2023,2
Formosa,Março de 2022,2
Formosa,Setembro de 2024,0
Formosa,Setembro de 2023,1
Formosa,Setembro de 2022,3
Formosa,Janeiro de 2024,1
Formosa,Janeiro de 2023,2
Formosa,Janeiro de 2022,0
Formosa,Maio de 2024,1
Formosa,Maio de 2023,0
Formosa,Maio de 2022,2
Formosa,Junho de 2024,0
Formosa,Junho de 2023,1
Formosa,Junho de 2022,1
Formosa,Fevereiro de 2024,0
Formosa,Fevereiro de 2023,1
Formosa,Fevereiro de 2022,0
Formosa,Outubro de 2024,0
Formosa,Outubro de 2023,2
Formosa,Outubro de 2022,3
Formosa,N/A de 2024,0
Formosa,N/A de 2023,0
Formosa,N/A de 2022,0
Formosa,Novembro de 2024,0
Formosa,Novembro de 2023,1
Formosa,Novembro de 2022,0
Formosa,Dezembro de 2024,0
Formosa,Dezembro de 2023,1
Formosa,Dezembro de 2022,0
Formosa,Julho de 2024,0
Formosa,Julho de 2023,1
Formosa,Julho de 2022,0
Formosa,Abril de 2024,0
Formosa,Abril de 2023,1
Formosa,Abril de 2022,2
Goiânia,Agosto de 2024,0
Goiânia,Agosto de 2023,29
Goiânia,Agosto de 2022,15
Goiânia,Março de 2024,21
Goiânia,Março de 2023,17
Goiânia,Março de 2022,23
Goiânia,Setembro de 2024,0
Goiânia,Setembro de 2023,21
Goiânia,Setembro de 2022,19
Goiânia,Janeiro de 2024,18
Goiânia,Janeiro de 2023,20
Goiânia,Janeiro de 2022,18
Goiânia,Maio de 2024,14
Goiânia,Maio de 2023,19
Goiânia,Maio de 2022,17
Goiânia,Junho de 2024,5
Goiânia,Junho de 2023,19
Goiânia,Junho de 2022,21
Goiânia,Fevereiro de 2024,14
Goiânia,Fevereiro de 2023,20
Goiânia,Fevereiro de 2022,15
Goiânia,Outubro de 2024,0
Goiânia,Outubro de 2023,14
Goiânia,Outubro de 2022,16
Goiânia,N/A de 2024,0
Goiânia,N/A de 2023,0
Goiânia,N/A de 2022,0
Goiânia,Novembro de 2024,0
Goiânia,Novembro de 2023,32
Goiânia,Novembro de 2022,23
Goiânia,Dezembro de 2024,0
Goiânia,Dezembro de 2023,11
Goiânia,Dezembro de 2022,14
Goiânia,Julho de 2024,0
Goiânia,Julho de 2023,22
Goiânia,Julho de 2022,26
Goiânia,Abril de 2024,25
Goiânia,Abril de 2023,24
Goiânia,Abril de 2022,13
Anápolis,Agosto de 2024,0
Anápolis,Agosto de 2023,3
Anápolis,Agosto de 2022,7
Anápolis,Março de 2024,0
Anápolis,Março de 2023,1
Anápolis,Março de 2022,2
Anápolis,Setembro de 2024,0
Anápolis,Setembro de 2023,3
Anápolis,Setembro de 2022,10
Anápolis,Janeiro de 2024,0
Anápolis,Janeiro de 2023,6
Anápolis,Janeiro de 2022,2
Anápolis,Maio de 2024,3
Anápolis,Maio de 2023,6
Anápolis,Maio de 2022,2
Anápolis,Junho de 2024,1
Anápolis,Junho de 2023,5
Anápolis,Junho de 2022,0
Anápolis,Fevereiro de 2024,2
Anápolis,Fevereiro de 2023,6
Anápolis,Fevereiro de 2022,5
Anápolis,Outubro de 2024,0
Anápolis,Outubro de 2023,1
Anápolis,Outubro de 2022,1
Anápolis,N/A de 2024,0
Anápolis,N/A de 2023,0
Anápolis,N/A de 2022,0
Anápolis,Novembro de 2024,0
Anápolis,Novembro de 2023,1
Anápolis,Novembro de 2022,2
Anápolis,Dezembro de 2024,0
Anápolis,Dezembro de 2023,6
Anápolis,Dezembro de 2022,0
Anápolis,Julho de 2024,0
Anápolis,Julho de 2023,4
Anápolis,Julho de 2022,4
Anápolis,Abril de 2024,2
Anápolis,Abril de 2023,1
Anápolis,Abril de 2022,5
Niquelândia,Agosto de 2024,0
Niquelândia,Agosto de 2023,1
Niquelândia,Agosto de 2022,1
Niquelândia,Março de 2024,0
Niquelândia,Março de 2023,1
Niquelândia,Março de 2022,0
Niquelândia,Setembro de 2024,0
Niquelândia,Setembro de 2023,0
Niquelândia,Setembro de 2022,1
Niquelândia,Janeiro de 2024,0
Niquelândia,Janeiro de 2023,1
Niquelândia,Janeiro de 2022,0
Niquelândia,Maio de 2024,0
Niquelândia,Maio de 2023,2
Niquelândia,Maio de 2022,0
Niquelândia,Junho de 2024,0
Niquelândia,Junho de 2023,0
Niquelândia,Junho de 2022,0
Niquelândia,Fevereiro de 2024,0
Niquelândia,Fevereiro de 2023,0
Niquelândia,Fevereiro de 2022,0
Niquelândia,Outubro de 2024,0
Niquelândia,Outubro de 2023,0
Niquelândia,Outubro de 2022,0
Niquelândia,N/A de 2024,0
Niquelândia,N/A de 2023,0
Niquelândia,N/A de 2022,0
Niquelândia,Novembro de 2024,0
Niquelândia,Novembro de 2023,0
Niquelândia,Novembro de 2022,1
Niquelândia,Dezembro de 2024,0
Niquelândia,Dezembro de 2023,1
Niquelândia,Dezembro de 2022,0
Niquelândia,Julho de 2024,0
Niquelândia,Julho de 2023,0
Niquelândia,Julho de 2022,0
Niquelândia,Abril de 2024,0
Niquelândia,Abril de 2023,1
Niquelândia,Abril de 2022,0
Cachoeira Alta,Agosto de 2024,0
Cachoeira Alta,Agosto de 2023,0
Cachoeira Alta,Agosto de 2022,0
Cachoeira Alta,Março de 2024,0
Cachoeira Alta,Março de 2023,0
Cachoeira Alta,Março de 2022,0
Cachoeira Alta,Setembro de 2024,0
Cachoeira Alta,Setembro de 2023,0
Cachoeira Alta,Setembro de 2022,0
Cachoeira Alta,Janeiro de 2024,1
Cachoeira Alta,Janeiro de 2023,0
Cachoeira Alta,Janeiro de 2022,0
Cachoeira Alta,Maio de 2024,0
Cachoeira Alta,Maio de 2023,0
Cachoeira Alta,Maio de 2022,0
Cachoeira Alta,Junho de 2024,1
Cachoeira Alta,Junho de 2023,0
Cachoeira Alta,Junho de 2022,0
Cachoeira Alta,Fevereiro de 2024,0
Cachoeira Alta,Fevereiro de 2023,0
Cachoeira Alta,Fevereiro de 2022,0
Cachoeira Alta,Outubro de 2024,0
Cachoeira Alta,Outubro de 2023,0
Cachoeira Alta,Outubro de 2022,1
Cachoeira Alta,N/A de 2024,0
Cachoeira Alta,N/A de 2023,0
Cachoeira Alta,N/A de 2022,0
Cachoeira Alta,Novembro de 2024,0
Cachoeira Alta,Novembro de 2023,0
Cachoeira Alta,Novembro de 2022,0
Cachoeira Alta,Dezembro de 2024,0
Cachoeira Alta,Dezembro de 2023,0
Cachoeira Alta,Dezembro de 2022,0
Cachoeira Alta,Julho de 2024,0
Cachoeira Alta,Julho de 2023,0
Cachoeira Alta,Julho de 2022,0
Cachoeira Alta,Abril de 2024,0
Cachoeira Alta,Abril de 2023,0
Cachoeira Alta,Abril de 2022,0
Silvânia,Agosto de 2024,0
Silvânia,Agosto de 2023,0
Silvânia,Agosto de 2022,0
Silvânia,Março de 2024,0
Silvânia,Março de 2023,2
Silvânia,Março de 2022,2
Silvânia,Setembro de 2024,0
Silvânia,Setembro de 2023,0
Silvânia,Setembro de 2022,0
Silvânia,Janeiro de 2024,0
Silvânia,Janeiro de 2023,0
Silvânia,Janeiro de 2022,0
Silvânia,Maio de 2024,0
Silvânia,Maio de 2023,1
Silvânia,Maio de 2022,0
Silvânia,Junho de 2024,0
Silvânia,Junho de 2023,0
Silvânia,Junho de 2022,1
Silvânia,Fevereiro de 2024,0
Silvânia,Fevereiro de 2023,0
Silvânia,Fevereiro de 2022,1
Silvânia,Outubro de 2024,0
Silvânia,Outubro de 2023,0
Silvânia,Outubro de 2022,1
Silvânia,N/A de 2024,0
Silvânia,N/A de 2023,0
Silvânia,N/A de 2022,0
Silvânia,Novembro de 2024,0
Silvânia,Novembro de 2023,0
Silvânia,Novembro de 2022,0
Silvânia,Dezembro de 2024,0
Silvânia,Dezembro de 2023,0
Silvânia,Dezembro de 2022,0
Silvânia,Julho de 2024,0
Silvânia,Julho de 2023,0
Silvânia,Julho de 2022,0
Silvânia,Abril de 2024,2
Silvânia,Abril de 2023,0
Silvânia,Abril de 2022,0
Aparecida do Rio Doce,Agosto de 2024,0
Aparecida do Rio Doce,Agosto de 2023,0
Aparecida do Rio Doce,Agosto de 2022,0
Aparecida do Rio Doce,Março de 2024,0
Aparecida do Rio Doce,Março de 2023,0
Aparecida do Rio Doce,Março de 2022,0
Aparecida do Rio Doce,Setembro de 2024,0
Aparecida do Rio Doce,Setembro de 2023,0
Aparecida do Rio Doce,Setembro de 2022,1
Aparecida do Rio Doce,Janeiro de 2024,0
Aparecida do Rio Doce,Janeiro de 2023,0
Aparecida do Rio Doce,Janeiro de 2022,0
Aparecida do Rio Doce,Maio de 2024,0
Aparecida do Rio Doce,Maio de 2023,0
Aparecida do Rio Doce,Maio de 2022,0
Aparecida do Rio Doce,Junho de 2024,0
Aparecida do Rio Doce,Junho de 2023,0
Aparecida do Rio Doce,Junho de 2022,0
Aparecida do Rio Doce,Fevereiro de 2024,0
Aparecida do Rio Doce,Fevereiro de 2023,0
Aparecida do Rio Doce,Fevereiro de 2022,0
Aparecida do Rio Doce,Outubro de 2024,0
Aparecida do Rio Doce,Outubro de 2023,0
Aparecida do Rio Doce,Outubro de 2022,0
Aparecida do Rio Doce,N/A de 2024,0
Aparecida do Rio Doce,N/A de 2023,0
Aparecida do Rio Doce,N/A de 2022,0
Aparecida do Rio Doce,Novembro de 2024,0
Aparecida do Rio Doce,Novembro de 2023,0
Aparecida do Rio Doce,Novembro de 2022,0
Aparecida do Rio Doce,Dezembro de 2024,0
Aparecida do Rio Doce,Dezembro de 2023,0
Aparecida do Rio Doce,Dezembro de 2022,0
Aparecida do Rio Doce,Julho de 2024,0
Aparecida do Rio Doce,Julho de 2023,0
Aparecida do Rio Doce,Julho de 2022,0
Aparecida do Rio Doce,Abril de 2024,0
Aparecida do Rio Doce,Abril de 2023,0
Aparecida do Rio Doce,Abril de 2022,0
Novo Gama,Agosto de 2024,0
Novo Gama,Agosto de 2023,0
Novo Gama,Agosto de 2022,0
Novo Gama,Março de 2024,0
Novo Gama,Março de 2023,0
Novo Gama,Março de 2022,0
Novo Gama,Setembro de 2024,0
Novo Gama,Setembro de 2023,1
Novo Gama,Setembro de 2022,0
Novo Gama,Janeiro de 2024,0
Novo Gama,Janeiro de 2023,1
Novo Gama,Janeiro de 2022,1
Novo Gama,Maio de 2024,1
Novo Gama,Maio de 2023,0
Novo Gama,Maio de 2022,0
Novo Gama,Junho de 2024,0
Novo Gama,Junho de 2023,2
Novo Gama,Junho de 2022,2
Novo Gama,Fevereiro de 2024,0
Novo Gama,Fevereiro de 2023,1
Novo Gama,Fevereiro de 2022,0
Novo Gama,Outubro de 2024,0
Novo Gama,Outubro de 2023,0
Novo Gama,Outubro de 2022,0
Novo Gama,N/A de 2024,0
Novo Gama,N/A de 2023,0
Novo Gama,N/A de 2022,0
Novo Gama,Novembro de 2024,0
Novo Gama,Novembro de 2023,0
Novo Gama,Novembro de 2022,0
Novo Gama,Dezembro de 2024,0
Novo Gama,Dezembro de 2023,0
Novo Gama,Dezembro de 2022,1
Novo Gama,Julho de 2024,0
Novo Gama,Julho de 2023,0
Novo Gama,Julho de 2022,1
Novo Gama,Abril de 2024,0
Novo Gama,Abril de 2023,2
Novo Gama,Abril de 2022,2
Goianésia,Agosto de 2024,0
Goianésia,Agosto de 2023,0
Goianésia,Agosto de 2022,2
Goianésia,Março de 2024,0
Goianésia,Março de 2023,3
Goianésia,Março de 2022,1
Goianésia,Setembro de 2024,0
Goianésia,Setembro de 2023,1
Goianésia,Setembro de 2022,0
Goianésia,Janeiro de 2024,1
Goianésia,Janeiro de 2023,1
Goianésia,Janeiro de 2022,1
Goianésia,Maio de 2024,1
Goianésia,Maio de 2023,2
Goianésia,Maio de 2022,1
Goianésia,Junho de 2024,0
Goianésia,Junho de 2023,0
Goianésia,Junho de 2022,1
Goianésia,Fevereiro de 2024,1
Goianésia,Fevereiro de 2023,0
Goianésia,Fevereiro de 2022,0
Goianésia,Outubro de 2024,0
Goianésia,Outubro de 2023,2
Goianésia,Outubro de 2022,2
Goianésia,N/A de 2024,0
Goianésia,N/A de 2023,0
Goianésia,N/A de 2022,0
Goianésia,Novembro de 2024,0
Goianésia,Novembro de 2023,1
Goianésia,Novembro de 2022,0
Goianésia,Dezembro de 2024,0
Goianésia,Dezembro de 2023,0
Goianésia,Dezembro de 2022,1
Goianésia,Julho de 2024,0
Goianésia,Julho de 2023,0
Goianésia,Julho de 2022,1
Goianésia,Abril de 2024,1
Goianésia,Abril de 2023,0
Goianésia,Abril de 2022,1
Águas Lindas de Goiás,Agosto de 2024,0
Águas Lindas de Goiás,Agosto de 2023,2
Águas Lindas de Goiás,Agosto de 2022,3
Águas Lindas de Goiás,Março de 2024,1
Águas Lindas de Goiás,Março de 2023,2
Águas Lindas de Goiás,Março de 2022,2
Águas Lindas de Goiás,Setembro de 2024,0
Águas Lindas de Goiás,Setembro de 2023,0
Águas Lindas de Goiás,Setembro de 2022,2
Águas Lindas de Goiás,Janeiro de 2024,0
Águas Lindas de Goiás,Janeiro de 2023,1
Águas Lindas de Goiás,Janeiro de 2022,0
Águas Lindas de Goiás,Maio de 2024,4
Águas Lindas de Goiás,Maio de 2023,3
Águas Lindas de Goiás,Maio de 2022,0
Águas Lindas de Goiás,Junho de 2024,1
Águas Lindas de Goiás,Junho de 2023,0
Águas Lindas de Goiás,Junho de 2022,1
Águas Lindas de Goiás,Fevereiro de 2024,1
Águas Lindas de Goiás,Fevereiro de 2023,3
Águas Lindas de Goiás,Fevereiro de 2022,0
Águas Lindas de Goiás,Outubro de 2024,0
Águas Lindas de Goiás,Outubro de 2023,0
Águas Lindas de Goiás,Outubro de 2022,2
Águas Lindas de Goiás,N/A de 2024,0
Águas Lindas de Goiás,N/A de 2023,0
Águas Lindas de Goiás,N/A de 2022,0
Águas Lindas de Goiás,Novembro de 2024,0
Águas Lindas de Goiás,Novembro de 2023,1
Águas Lindas de Goiás,Novembro de 2022,3
Águas Lindas de Goiás,Dezembro de 2024,0
Águas Lindas de Goiás,Dezembro de 2023,2
Águas Lindas de Goiás,Dezembro de 2022,1
Águas Lindas de Goiás,Julho de 2024,0
Águas Lindas de Goiás,Julho de 2023,2
Águas Lindas de Goiás,Julho de 2022,0
Águas Lindas de Goiás,Abril de 2024,1
Águas Lindas de Goiás,Abril de 2023,3
Águas Lindas de Goiás,Abril de 2022,1
Goianira,Agosto de 2024,0
Goianira,Agosto de 2023,2
Goianira,Agosto de 2022,0
Goianira,Março de 2024,1
Goianira,Março de 2023,0
Goianira,Março de 2022,1
Goianira,Setembro de 2024,0
Goianira,Setembro de 2023,1
Goianira,Setembro de 2022,1
Goianira,Janeiro de 2024,1
Goianira,Janeiro de 2023,0
Goianira,Janeiro de 2022,1
Goianira,Maio de 2024,1
Goianira,Maio de 2023,1
Goianira,Maio de 2022,1
Goianira,Junho de 2024,3
Goianira,Junho de 2023,3
Goianira,Junho de 2022,1
Goianira,Fevereiro de 2024,1
Goianira,Fevereiro de 2023,0
Goianira,Fevereiro de 2022,4
Goianira,Outubro de 2024,0
Goianira,Outubro de 2023,0
Goianira,Outubro de 2022,1
Goianira,N/A de 2024,0
Goianira,N/A de 2023,0
Goianira,N/A de 2022,0
Goianira,Novembro de 2024,0
Goianira,Novembro de 2023,2
Goianira,Novembro de 2022,1
Goianira,Dezembro de 2024,0
Goianira,Dezembro de 2023,1
Goianira,Dezembro de 2022,3
Goianira,Julho de 2024,0
Goianira,Julho de 2023,0
Goianira,Julho de 2022,1
Goianira,Abril de 2024,1
Goianira,Abril de 2023,4
Goianira,Abril de 2022,2
Palmeiras de Goiás,Agosto de 2024,0
Palmeiras de Goiás,Agosto de 2023,1
Palmeiras de Goiás,Agosto de 2022,0
Palmeiras de Goiás,Março de 2024,0
Palmeiras de Goiás,Março de 2023,0
Palmeiras de Goiás,Março de 2022,0
Palmeiras de Goiás,Setembro de 2024,0
Palmeiras de Goiás,Setembro de 2023,1
Palmeiras de Goiás,Setembro de 2022,1
Palmeiras de Goiás,Janeiro de 2024,3
Palmeiras de Goiás,Janeiro de 2023,1
Palmeiras de Goiás,Janeiro de 2022,0
Palmeiras de Goiás,Maio de 2024,1
Palmeiras de Goiás,Maio de 2023,0
Palmeiras de Goiás,Maio de 2022,2
Palmeiras de Goiás,Junho de 2024,0
Palmeiras de Goiás,Junho de 2023,1
Palmeiras de Goiás,Junho de 2022,0
Palmeiras de Goiás,Fevereiro de 2024,0
Palmeiras de Goiás,Fevereiro de 2023,0
Palmeiras de Goiás,Fevereiro de 2022,0
Palmeiras de Goiás,Outubro de 2024,0
Palmeiras de Goiás,Outubro de 2023,2
Palmeiras de Goiás,Outubro de 2022,0
Palmeiras de Goiás,N/A de 2024,0
Palmeiras de Goiás,N/A de 2023,0
Palmeiras de Goiás,N/A de 2022,0
Palmeiras de Goiás,Novembro de 2024,0
Palmeiras de Goiás,Novembro de 2023,2
Palmeiras de Goiás,Novembro de 2022,0
Palmeiras de Goiás,Dezembro de 2024,0
Palmeiras de Goiás,Dezembro de 2023,0
Palmeiras de Goiás,Dezembro de 2022,1
Palmeiras de Goiás,Julho de 2024,0
Palmeiras de Goiás,Julho de 2023,0
Palmeiras de Goiás,Julho de 2022,0
Palmeiras de Goiás,Abril de 2024,0
Palmeiras de Goiás,Abril de 2023,2
Palmeiras de Goiás,Abril de 2022,0
Itaberaí,Agosto de 2024,0
Itaberaí,Agosto de 2023,0
Itaberaí,Agosto de 2022,0
Itaberaí,Março de 2024,0
Itaberaí,Março de 2023,1
Itaberaí,Março de 2022,0
Itaberaí,Setembro de 2024,0
Itaberaí,Setembro de 2023,0
Itaberaí,Setembro de 2022,0
Itaberaí,Janeiro de 2024,0
Itaberaí,Janeiro de 2023,1
Itaberaí,Janeiro de 2022,0
Itaberaí,Maio de 2024,0
Itaberaí,Maio de 2023,0
Itaberaí,Maio de 2022,0
Itaberaí,Junho de 2024,0
Itaberaí,Junho de 2023,0
Itaberaí,Junho de 2022,0
Itaberaí,Fevereiro de 2024,0
Itaberaí,Fevereiro de 2023,0
Itaberaí,Fevereiro de 2022,0
Itaberaí,Outubro de 2024,0
Itaberaí,Outubro de 2023,1
Itaberaí,Outubro de 2022,0
Itaberaí,N/A de 2024,0
Itaberaí,N/A de 2023,0
Itaberaí,N/A de 2022,0
Itaberaí,Novembro de 2024,0
Itaberaí,Novembro de 2023,0
Itaberaí,Novembro de 2022,0
Itaberaí,Dezembro de 2024,0
Itaberaí,Dezembro de 2023,1
Itaberaí,Dezembro de 2022,1
Itaberaí,Julho de 2024,0
Itaberaí,Julho de 2023,0
Itaberaí,Julho de 2022,0
Itaberaí,Abril de 2024,0
Itaberaí,Abril de 2023,0
Itaberaí,Abril de 2022,0
Goiatuba,Agosto de 2024,0
Goiatuba,Agosto de 2023,2
Goiatuba,Agosto de 2022,0
Goiatuba,Março de 2024,1
Goiatuba,Março de 2023,0
Goiatuba,Março de 2022,1
Goiatuba,Setembro de 2024,0
Goiatuba,Setembro de 2023,2
